Date,TecDAX,,,,,1&1,,,,,,Aixtron,,,,,,Aumann,,,,,,Adva,,,,,,Bechtle,,,,,,Cancom,,,,,,Carl Zeiss Meditec,,,,,,CompuGroup,,,,,,Dialog Semiconductor,,,,,,Drägerwerk,,,,,,Evotec,,,,,,Freenet,,,,,,GFT Technologies,,,,,,Infineon,,,,,,Isra,,,,,,Jenoptik,,,,,,LPKF,,,,,,Manz,,,,,,Medigene,,,,,,MorphoSys,,,,,,Nemetschek,,,,,,Nordex,,,,,,Pfeiffer Vacuum,,,,,,Qiagen,,,,,,QSC,,,,,,RIB Software,,,,,,,S&T,,,,,SAP,,,,,,Sartorius,,,,,,Siemens Healthineers,,,,,,Siltronic,,,,,,SLM,,,,,,SMA,,,,,,Software,,,,,,Stratec,,,,,,,Süss,,,,,Telefonica,,,,,,Telekom,,,,,,United Internet,,,,,,Wirecard,,,,,,Xing,,,,,
Date,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Aixtron,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Adva,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,GFT Technologies,Volumen,Datum,Eroeffnung,Hoch,Tief,Infineon,Volumen,Datum,Eroeffnung,Hoch,Tief,Isra,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,LPKF,Volumen,Datum,Eroeffnung,Hoch,Tief,Manz,Volumen,Datum,Eroeffnung,Hoch,Tief,Medigene,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,QSC,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,S&T,Volumen,Datum,Eroeffnung,Hoch,Tief,SAP,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Siemens Health,Volumen,Datum,Eroeffnung,Hoch,Tief,Siltronic,Volumen,Datum,Eroeffnung,Hoch,Tief,SLM,Volumen,Datum,Eroeffnung,Hoch,Tief,SMA,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Stratec,Volumen,Datum,Eroeffnung,Hoch,Tief,Süss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Telekom,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen
  01.07.2015,"1,379.26","1,406.53","1,378.70","1,396.17","9,963,006",  01.07.2015,40.51,40.83,39.29,39.44,"282,821",  01.07.2015,6.1,6.15,6.03,6.13,"950,184",,0,0,0,0,0,  01.07.2015,8.87,9,8.66,8.73,"734,675",  01.07.2015,34.25,35.25,34.25,34.86,"120,630",  01.07.2015,16.41,16.5,16.16,16.34,"335,130",  01.07.2015,22.93,24.5,22.93,24.08,"133,659",  01.07.2015,31.24,32.12,31.21,31.9,"30,270",  01.07.2015,49.27,51.1,49.18,50.44,"449,199",  01.07.2015,97.47,97.47,95.54,95.78,"14,990",  01.07.2015,3.12,3.44,3.1,3.33,"3,780,850",  01.07.2015,30.48,31.09,30.32,30.65,"510,033",  01.07.2015,18.83,19.64,18.7,19.34,"124,838",  01.07.2015,0,0,0,0,"7,533,522",  01.07.2015,0,0,0,0,"11,875",  01.07.2015,10.95,11.36,10.93,11.35,"177,784",  01.07.2015,8,8.2,7.89,8.16,"89,699",  01.07.2015,59.13,64.72,59.13,62.67,"255,789",  01.07.2015,0,0,0,0,"235,877",  01.07.2015,65.15,65.42,63.74,65.42,"154,908",  01.07.2015,31.4,31.7,30,30.5,"138,826",  01.07.2015,21.83,22.58,21.77,22.3,"902,504",  01.07.2015,80.33,81.87,80.19,80.61,"16,609",  01.07.2015,23.15,23.6,23.15,23.6,"5,147",  01.07.2015,1.85,1.88,1.82,1.84,"551,199",  01.07.2015,14.5,14.91,14.31,14.55,"218,402",  01.07.2015,0,0,0,0,"55,798",  01.07.2015,0,0,0,0,"3,706,082",  01.07.2015,41.88,41.91,41.42,41.55,"47,092",  01.07.2015,0,0,0,0,0,  01.07.2015,0,0,0,0,"55,882",  01.07.2015,0,0,0,0,"16,769",  01.07.2015,20.3,21.25,19.95,20.24,"203,009",  01.07.2015,24.77,25.16,24.59,24.77,"164,451",01.07.2015,49.93,50.01,50.19,48.995,"4,146",  01.07.2015,0,0,0,0,"110,943",  01.07.2015,5.18,5.24,5.13,5.16,"1,712,151",  01.07.2015,0,0,0,0,"13,438,468",  01.07.2015,40.3,40.96,40.24,40.44,"367,931",  01.07.2015,34.78,35.45,34.73,35.26,"475,020",  01.07.2015,148.8,156,148.8,153.8,"20,189"
  02.07.2015,"1,398.01","1,405.43","1,383.11","1,384.50","6,084,233",  02.07.2015,39.8,40.29,38.8,39.04,"223,662",  02.07.2015,6.12,6.21,6.09,6.18,"669,267",,0,0,0,0,0,  02.07.2015,8.81,8.93,8.51,8.51,"415,927",  02.07.2015,34.91,35.77,34.9,35.14,"113,398",  02.07.2015,16.37,16.48,16.15,16.22,"263,490",  02.07.2015,24.02,24.3,23.94,24.06,"69,183",  02.07.2015,31.66,32.57,31.05,31.47,"53,007",  02.07.2015,50.79,50.81,49.46,49.54,"424,049",  02.07.2015,95.71,96.09,94.6,95.29,"11,179",  02.07.2015,3.38,3.39,3.3,3.3,"1,382,612",  02.07.2015,30.74,30.96,30.3,30.51,"434,920",  02.07.2015,19.41,19.53,18.96,19.08,"95,965",  02.07.2015,0,0,0,0,"3,876,179",  02.07.2015,0,0,0,0,"4,075",  02.07.2015,11.24,11.34,11.09,11.12,"154,906",  02.07.2015,8.24,8.51,8.08,8.14,"70,880",  02.07.2015,63.18,65.14,61.59,61.71,"73,000",  02.07.2015,0,0,0,0,"324,624",  02.07.2015,65.24,66.49,64.07,64.3,"108,791",  02.07.2015,31.1,31.25,29.21,29.75,"67,610",  02.07.2015,22.4,22.73,21.9,21.96,"605,935",  02.07.2015,80.91,81.33,80.44,80.6,"26,623",  02.07.2015,23.69,23.69,23.15,23.29,"6,510",  02.07.2015,1.85,1.87,1.82,1.82,"330,587",  02.07.2015,14.59,14.59,14.16,14.16,"102,529",  02.07.2015,0,0,0,0,"49,247",  02.07.2015,0,0,0,0,"1,880,628",  02.07.2015,41.75,41.75,40.6,41.71,"107,220",  02.07.2015,0,0,0,0,0,  02.07.2015,0,0,0,0,"6,557",  02.07.2015,0,0,0,0,"71,892",  02.07.2015,20.73,21.85,20.53,21.4,"282,414",  02.07.2015,24.73,25.08,24.61,24.75,"99,625",02.07.2015,50,49.105,50.25,48.665,"7,133",  02.07.2015,0,0,0,0,"196,877",  02.07.2015,5.18,5.19,5.1,5.1,"1,580,495",  02.07.2015,0,0,0,0,"8,176,635",  02.07.2015,40.62,40.69,39.66,39.82,"231,238",  02.07.2015,35.35,35.85,35.35,35.52,"437,260",  02.07.2015,152.75,154.2,147.95,148.75,"8,151"
  03.07.2015,"1,383.87","1,396.13","1,379.44","1,383.29","5,148,413",  03.07.2015,39,39.38,38.8,39.03,"201,452",  03.07.2015,6.18,6.22,6.08,6.12,"373,232",,0,0,0,0,0,  03.07.2015,8.58,8.79,8.53,8.77,"308,889",  03.07.2015,35.17,35.34,34.65,34.87,"51,496",  03.07.2015,16.2,16.33,16.08,16.14,"120,780",  03.07.2015,23.97,24.37,23.9,24.2,"77,548",  03.07.2015,31.38,31.86,31.28,31.79,"15,253",  03.07.2015,50.03,50.74,49.22,49.67,"268,314",  03.07.2015,95.27,95.79,94.63,94.87,"3,639",  03.07.2015,3.3,3.31,3.26,3.27,"938,808",  03.07.2015,30.43,30.52,29.99,30.11,"250,630",  03.07.2015,19.05,19.34,19.02,19.13,"56,362",  03.07.2015,0,0,0,0,"3,414,592",  03.07.2015,0,0,0,0,"20,295",  03.07.2015,11.12,11.21,11.02,11.09,"78,112",  03.07.2015,8.19,8.25,8.07,8.08,"37,287",  03.07.2015,62.58,62.97,59.65,60.63,"53,405",  03.07.2015,0,0,0,0,"239,343",  03.07.2015,64.15,65.78,64.06,65.08,"83,426",  03.07.2015,29.5,29.73,28.76,29.36,"34,151",  03.07.2015,22.2,22.75,22.09,22.24,"673,602",  03.07.2015,80.35,80.36,78.7,79.76,"39,229",  03.07.2015,23.35,23.35,23.03,23.07,879,  03.07.2015,1.84,1.84,1.78,1.79,"875,181",  03.07.2015,14.3,14.3,13.94,14.2,"75,285",  03.07.2015,0,0,0,0,"36,749",  03.07.2015,0,0,0,0,"1,823,025",  03.07.2015,41.48,42.16,41.48,42,"29,516",  03.07.2015,0,0,0,0,0,  03.07.2015,0,0,0,0,"54,391",  03.07.2015,0,0,0,0,"34,080",  03.07.2015,21.45,21.68,20.69,20.85,"137,945",  03.07.2015,24.76,24.93,24.32,24.43,"92,940",03.07.2015,49.25,49.885,50.22,49.135,"3,689",  03.07.2015,0,0,0,0,"75,865",  03.07.2015,5.13,5.13,5.06,5.07,"1,461,582",  03.07.2015,0,0,0,0,"7,739,323",  03.07.2015,39.9,40.21,39.69,39.84,"149,938",  03.07.2015,35.58,36.5,35.5,35.82,"402,413",  03.07.2015,149.4,150.4,147,147.5,"6,533"
  06.07.2015,"1,375.54","1,383.72","1,363.06","1,378.38","5,591,467",  06.07.2015,38.36,38.96,38.05,38.18,"201,553",  06.07.2015,6,6.12,6,6.08,"341,653",,0,0,0,0,0,  06.07.2015,8.67,8.93,8.64,8.7,"298,661",  06.07.2015,34.5,35.74,34.36,35.5,"85,174",  06.07.2015,15.98,16.18,15.9,16.07,"108,558",  06.07.2015,24,24.51,23.9,24.07,"69,418",  06.07.2015,31,32.03,30.86,32.03,"25,476",  06.07.2015,48.43,50.67,48.34,50.2,"430,246",  06.07.2015,94.4,94.8,93.51,93.56,"11,260",  06.07.2015,3.24,3.35,3.23,3.33,"799,971",  06.07.2015,29.69,30.07,29.56,29.82,"505,446",  06.07.2015,18.98,19.78,18.83,19.42,"134,340",  06.07.2015,0,0,0,0,"4,432,966",  06.07.2015,0,0,0,0,"11,115",  06.07.2015,10.97,11.15,10.94,11.03,"52,634",  06.07.2015,8.13,8.26,8.05,8.05,"31,044",  06.07.2015,59.67,62.32,59.42,60.81,"52,592",  06.07.2015,0,0,0,0,"378,685",  06.07.2015,64,65.77,64,65.2,"73,732",  06.07.2015,29.01,31.44,29.01,31.3,"96,167",  06.07.2015,21.86,22.23,21.73,21.92,"580,558",  06.07.2015,79.18,79.49,78.05,78.16,"23,576",  06.07.2015,22.94,23.13,22.93,23.1,"6,088",  06.07.2015,1.78,1.81,1.72,1.73,"715,532",  06.07.2015,13.91,14.59,13.91,14.51,"115,694",  06.07.2015,0,0,0,0,"13,993",  06.07.2015,0,0,0,0,"3,434,698",  06.07.2015,41.72,42.71,41.66,42.71,"45,524",  06.07.2015,0,0,0,0,0,  06.07.2015,0,0,0,0,"5,756",  06.07.2015,0,0,0,0,"19,785",  06.07.2015,20.86,21.1,20.49,20.6,"111,906",  06.07.2015,24.15,24.35,23.99,24.04,"125,446",06.07.2015,49,49.1,49.6,48.95,"6,864",  06.07.2015,0,0,0,0,"172,265",  06.07.2015,5,5.04,4.98,4.99,"1,147,554",  06.07.2015,0,0,0,0,"11,929,500",  06.07.2015,39.33,39.62,39.16,39.58,"329,905",  06.07.2015,35.21,36,35.2,35.43,"308,709",  06.07.2015,144.85,148.25,144.1,146.45,"6,427"
  07.07.2015,"1,380.26","1,390.76","1,356.06","1,356.75","6,451,188",  07.07.2015,38.18,38.35,36.36,36.44,"410,715",  07.07.2015,6.14,6.16,5.98,5.98,"451,141",,0,0,0,0,0,  07.07.2015,8.77,8.99,8.55,8.59,"598,876",  07.07.2015,35.62,35.65,35.29,35.38,"109,794",  07.07.2015,16.75,17.52,16.66,17.01,"746,846",  07.07.2015,24.18,24.26,23.82,23.84,"40,297",  07.07.2015,32.03,32.75,32,32.57,"59,056",  07.07.2015,50.3,50.57,48.54,48.73,"617,633",  07.07.2015,93.5,93.5,90.95,90.95,"37,865",  07.07.2015,3.35,3.36,3.23,3.24,"644,889",  07.07.2015,29.81,29.98,29.16,29.21,"509,211",  07.07.2015,19.6,19.6,18.71,18.86,"127,238",  07.07.2015,0,0,0,0,"6,776,361",  07.07.2015,0,0,0,0,"41,265",  07.07.2015,11.08,11.13,10.97,11.1,"110,823",  07.07.2015,8.13,8.39,8.08,8.19,"61,579",  07.07.2015,61.98,62,58.14,58.42,"62,502",  07.07.2015,0,0,0,0,"753,859",  07.07.2015,65.59,66.64,64.35,64.4,"99,516",  07.07.2015,31.48,31.5,30.28,30.28,"71,244",  07.07.2015,22.11,22.2,21.22,21.25,"701,406",  07.07.2015,78.13,78.59,76.66,76.86,"29,869",  07.07.2015,23.36,23.63,23.36,23.48,"2,314",  07.07.2015,1.81,1.81,1.7,1.7,"658,692",  07.07.2015,14.51,14.73,13.95,14.1,"121,879",  07.07.2015,0,0,0,0,"40,025",  07.07.2015,0,0,0,0,"4,749,254",  07.07.2015,43.07,43.12,41.5,41.5,"83,516",  07.07.2015,0,0,0,0,0,  07.07.2015,0,0,0,0,"1,402",  07.07.2015,0,0,0,0,"35,518",  07.07.2015,20.8,21.53,20.17,20.22,"163,372",  07.07.2015,24.24,24.64,24.19,24.23,"216,167",07.07.2015,49.25,50.1,50.25,49.125,"9,217",  07.07.2015,0,0,0,0,"199,462",  07.07.2015,4.99,5.01,4.84,4.84,"1,505,356",  07.07.2015,0,0,0,0,"13,152,047",  07.07.2015,39.8,39.87,39.07,39.08,"346,096",  07.07.2015,35.47,35.73,34.64,34.74,"346,526",  07.07.2015,147.15,147.15,140.65,142.5,"7,925"
  08.07.2015,"1,356.90","1,358.41","1,343.12","1,348.07","5,805,721",  08.07.2015,36.28,36.65,34.82,36.47,"816,081",  08.07.2015,5.99,6.01,5.86,5.88,"616,558",,0,0,0,0,0,  08.07.2015,8.6,8.61,8.38,8.41,"401,161",  08.07.2015,35.18,35.5,35.07,35.3,"88,744",  08.07.2015,17.05,17.18,16.75,16.94,"322,684",  08.07.2015,23.87,23.87,23.18,23.28,"54,226",  08.07.2015,32.57,33.24,32.42,32.78,"76,275",  08.07.2015,48.98,49.38,47.13,47.5,"522,444",  08.07.2015,91.8,91.8,88.31,88.31,"49,675",  08.07.2015,3.25,3.28,3.16,3.2,"530,799",  08.07.2015,29.19,29.2,28.45,28.85,"425,936",  08.07.2015,18.97,19.14,18.56,18.95,"114,831",  08.07.2015,0,0,0,0,"7,574,630",  08.07.2015,0,0,0,0,"14,305",  08.07.2015,11.05,11.2,10.97,11.14,"128,005",  08.07.2015,7.08,7.67,7.04,7.67,"612,839",  08.07.2015,58.9,60.2,55.98,56.61,"60,915",  08.07.2015,0,0,0,0,"270,694",  08.07.2015,64.31,65.7,64.1,65.21,"102,252",  08.07.2015,30.39,30.66,29.6,30.18,"64,549",  08.07.2015,21.59,21.59,21.06,21.2,"443,612",  08.07.2015,78.2,78.2,75.88,76.41,"24,294",  08.07.2015,23.51,23.51,23.05,23.05,"2,159",  08.07.2015,1.73,1.73,1.65,1.68,"597,249",  08.07.2015,14,14.28,13.91,14.16,"71,715",  08.07.2015,0,0,0,0,"21,961",  08.07.2015,0,0,0,0,"3,881,031",  08.07.2015,41.27,41.61,40.62,40.62,"47,012",  08.07.2015,0,0,0,0,0,  08.07.2015,0,0,0,0,"13,291",  08.07.2015,0,0,0,0,"27,416",  08.07.2015,20.41,20.59,19.77,20.21,"149,888",  08.07.2015,24.28,24.37,24.04,24.09,"174,103",08.07.2015,49.67,48.77,50,48.5,"7,796",  08.07.2015,0,0,0,0,"146,576",  08.07.2015,4.86,4.87,4.79,4.86,"1,828,880",  08.07.2015,0,0,0,0,"9,334,080",  08.07.2015,39.11,39.18,38.53,38.68,"250,771",  08.07.2015,34.77,35.35,34.5,35.05,"351,330",  08.07.2015,143.5,144.95,140.5,143.45,"7,428"
  09.07.2015,"1,351.64","1,376.02","1,350.68","1,373.68","7,889,077",  09.07.2015,36.62,37.99,36.54,37.89,"501,059",  09.07.2015,5.85,5.87,5.37,5.46,"3,158,929",,0,0,0,0,0,  09.07.2015,8.45,8.91,8.36,8.91,"391,773",  09.07.2015,35.25,35.89,35.08,35.74,"89,484",  09.07.2015,17.07,17.4,16.95,17.3,"301,536",  09.07.2015,23.66,23.83,23.57,23.67,"30,353",  09.07.2015,32.75,32.98,32.64,32.92,"36,443",  09.07.2015,47.81,49.6,47.72,49.04,"478,318",  09.07.2015,88,89.9,88,88.91,"28,278",  09.07.2015,3.2,3.23,3.17,3.2,"421,021",  09.07.2015,29.06,29.84,28.87,29.73,"428,364",  09.07.2015,18.97,19.42,18.96,19.36,"57,976",  09.07.2015,0,0,0,0,"5,221,022",  09.07.2015,0,0,0,0,"4,615",  09.07.2015,11.08,11.16,10.9,10.98,"148,529",  09.07.2015,7.52,7.55,7.31,7.38,"154,165",  09.07.2015,57.86,58.54,56.37,58.28,"63,981",  09.07.2015,0,0,0,0,"219,212",  09.07.2015,65.14,68.38,65.14,67.71,"121,901",  09.07.2015,30,30.96,30,30.56,"50,766",  09.07.2015,21.41,21.83,21.34,21.8,"418,969",  09.07.2015,76.9,78.25,76.34,78.05,"25,895",  09.07.2015,23.17,23.33,23.16,23.22,"2,095",  09.07.2015,1.67,1.76,1.66,1.75,"483,301",  09.07.2015,14.3,14.6,14.16,14.53,"144,783",  09.07.2015,0,0,0,0,"9,526",  09.07.2015,0,0,0,0,"3,785,941",  09.07.2015,40.97,41.25,40.5,40.93,"43,908",  09.07.2015,0,0,0,0,0,  09.07.2015,0,0,0,0,"20,412",  09.07.2015,0,0,0,0,"43,422",  09.07.2015,20.01,20.28,19.75,19.93,"187,500",  09.07.2015,24.12,24.37,24.12,24.2,"214,875",09.07.2015,48.5,49.965,50.13,48.5,"9,378",  09.07.2015,0,0,0,0,"76,839",  09.07.2015,4.89,4.97,4.86,4.96,"1,736,910",  09.07.2015,0,0,0,0,"12,191,592",  09.07.2015,38.7,39.57,38.68,39.47,"230,124",  09.07.2015,35.06,36.06,34.96,35.86,"323,151",  09.07.2015,143.55,150,143.55,150,"13,586"
  10.07.2015,"1,386.56","1,421.61","1,386.56","1,421.32","8,176,115",  10.07.2015,39.35,39.49,38.83,39.26,"404,351",  10.07.2015,5.55,5.59,5.23,5.39,"1,504,535",,0,0,0,0,0,  10.07.2015,9.1,9.19,8.82,8.99,"458,032",  10.07.2015,36.2,36.44,36,36.36,"79,924",  10.07.2015,17.62,17.86,17.55,17.62,"234,648",  10.07.2015,23.8,24.2,23.64,24.1,"51,579",  10.07.2015,33.1,34.22,33.1,34.14,"79,953",  10.07.2015,50.2,50.44,49.28,49.95,"481,592",  10.07.2015,90.2,93.44,90.06,92.86,"18,500",  10.07.2015,3.27,3.28,3.21,3.25,"473,239",  10.07.2015,30.4,30.9,30.26,30.85,"331,584",  10.07.2015,19.66,20.3,19.66,20.3,"165,682",  10.07.2015,0,0,0,0,"6,860,862",  10.07.2015,0,0,0,0,"51,420",  10.07.2015,11.2,11.34,11.08,11.34,"74,502",  10.07.2015,7.48,7.58,7.45,7.55,"54,611",  10.07.2015,61.08,62.36,60.62,62.02,"75,708",  10.07.2015,0,0,0,0,"156,590",  10.07.2015,68.85,70.5,68.42,69.82,"115,667",  10.07.2015,30.83,32.91,30.81,32.91,"153,842",  10.07.2015,22.5,22.9,22.41,22.88,"1,025,575",  10.07.2015,79.75,80.47,79.2,80.46,"24,891",  10.07.2015,23.34,24,23.34,23.93,"14,310",  10.07.2015,1.8,1.82,1.79,1.81,"495,942",  10.07.2015,14.65,14.85,14.57,14.85,"193,930",  10.07.2015,0,0,0,0,"25,832",  10.07.2015,0,0,0,0,"4,054,084",  10.07.2015,41.28,42.2,41.28,41.75,"51,720",  10.07.2015,0,0,0,0,0,  10.07.2015,0,0,0,0,"27,814",  10.07.2015,0,0,0,0,"29,460",  10.07.2015,22.93,25.29,22.76,24.78,"909,665",  10.07.2015,24.7,24.94,24.6,24.83,"194,399",10.07.2015,50.5,50.59,51.21,50.49,"15,035",  10.07.2015,0,0,0,0,"131,958",  10.07.2015,5.05,5.14,5.03,5.14,"1,501,196",  10.07.2015,0,0,0,0,"15,221,655",  10.07.2015,41.1,42.43,40.84,42,"841,028",  10.07.2015,36.8,37.2,36.66,36.99,"447,130",  10.07.2015,152.15,152.15,150.3,151.95,"7,756"
  13.07.2015,"1,428.19","1,452.98","1,428.14","1,452.64","8,137,473",  13.07.2015,39.81,39.91,39,39.22,"370,724",  13.07.2015,5.39,5.39,5.2,5.24,"1,194,061",,0,0,0,0,0,  13.07.2015,9.02,9.28,8.72,9.23,"603,032",  13.07.2015,36.75,37.93,36.54,37.75,"147,632",  13.07.2015,17.95,18.07,17.33,17.53,"291,384",  13.07.2015,24.33,24.44,24,24.28,"59,113",  13.07.2015,34.14,34.4,33.85,33.9,"57,998",  13.07.2015,50.54,53.16,49.95,52.72,"880,452",  13.07.2015,93.33,98.75,92.71,98.03,"33,593",  13.07.2015,3.28,3.33,3.26,3.3,"499,247",  13.07.2015,31.18,31.46,30.97,31.29,"468,575",  13.07.2015,20.41,21.43,20.38,21.35,"263,914",  13.07.2015,0,0,0,0,"6,587,241",  13.07.2015,0,0,0,0,"20,510",  13.07.2015,11.43,11.56,11.26,11.4,"137,131",  13.07.2015,7.7,7.84,7.6,7.78,"64,870",  13.07.2015,62.58,64.8,62.35,63.55,"77,177",  13.07.2015,0,0,0,0,"217,504",  13.07.2015,70.58,71.34,70.25,70.8,"105,411",  13.07.2015,33.33,36.43,33.27,34.74,"240,369",  13.07.2015,23.25,24.23,23.25,23.94,"1,375,684",  13.07.2015,81,81.74,80.47,81.59,"26,246",  13.07.2015,24.09,24.81,24.09,24.74,"8,196",  13.07.2015,1.84,1.87,1.81,1.85,"520,429",  13.07.2015,14.85,15.3,14.85,15.23,"215,693",  13.07.2015,0,0,0,0,"39,547",  13.07.2015,0,0,0,0,"2,827,807",  13.07.2015,42.28,44.38,42.28,44.38,"157,580",  13.07.2015,0,0,0,0,0,  13.07.2015,0,0,0,0,"36,004",  13.07.2015,0,0,0,0,"31,479",  13.07.2015,25.9,26.52,24.7,26.08,"615,554",  13.07.2015,25,25.23,24.97,25.1,"149,839",13.07.2015,50.12,50.74,51,50.12,"10,177",  13.07.2015,0,0,0,0,"193,126",  13.07.2015,5.16,5.24,5.15,5.22,"1,815,128",  13.07.2015,0,0,0,0,"10,675,804",  13.07.2015,42.6,42.62,42.08,42.34,"503,896",  13.07.2015,37.44,37.5,37.13,37.35,"450,378",  13.07.2015,152.15,155.55,151.25,154.4,"9,749"
  14.07.2015,"1,454.05","1,458.58","1,446.76","1,457.33","7,603,716",  14.07.2015,39.3,39.56,38.91,39.4,"183,781",  14.07.2015,5.25,5.25,4.91,4.99,"2,590,749",,0,0,0,0,0,  14.07.2015,9.28,9.52,9.05,9.52,"548,248",  14.07.2015,37.75,37.78,37.36,37.62,"94,834",  14.07.2015,17.57,17.68,17.35,17.49,"124,490",  14.07.2015,24.46,24.58,24.31,24.56,"26,233",  14.07.2015,33.95,34,33.63,34,"41,014",  14.07.2015,53,53.05,51.13,51.55,"582,794",  14.07.2015,99.12,99.12,97.21,97.76,"11,463",  14.07.2015,3.32,3.32,3.25,3.3,"283,930",  14.07.2015,31.29,31.43,31.06,31.31,"257,718",  14.07.2015,21.39,21.4,20.59,21.19,"100,643",  14.07.2015,0,0,0,0,"5,449,290",  14.07.2015,0,0,0,0,"21,440",  14.07.2015,11.35,11.44,11.07,11.4,"173,532",  14.07.2015,7.74,7.89,7.74,7.8,"40,818",  14.07.2015,64.87,64.89,62.09,63.81,"23,162",  14.07.2015,0,0,0,0,"148,194",  14.07.2015,70.68,71.44,70.01,70.71,"100,587",  14.07.2015,34.8,35.1,33.62,34,"93,071",  14.07.2015,23.96,24.02,23.5,23.85,"643,211",  14.07.2015,81.26,81.65,81,81.5,"22,732",  14.07.2015,24.87,24.92,24.56,24.88,"4,186",  14.07.2015,1.86,1.87,1.8,1.83,"358,094",  14.07.2015,15.28,15.4,14.92,15.39,"116,799",  14.07.2015,0,0,0,0,"46,370",  14.07.2015,0,0,0,0,"2,281,333",  14.07.2015,44.42,44.66,43.35,43.68,"50,608",  14.07.2015,0,0,0,0,0,  14.07.2015,0,0,0,0,"8,253",  14.07.2015,0,0,0,0,"42,612",  14.07.2015,26.16,29.25,25.55,28.64,"684,168",  14.07.2015,25.12,25.52,25.1,25.21,"110,665",14.07.2015,50.14,50.52,50.7,50.14,"8,957",  14.07.2015,0,0,0,0,"92,829",  14.07.2015,5.23,5.24,5.21,5.23,"770,284",  14.07.2015,0,0,0,0,"8,027,663",  14.07.2015,42.37,43.6,42.35,43.57,"524,941",  14.07.2015,37.34,37.64,36.43,37.61,"392,699",  14.07.2015,155,155.55,150.8,155.55,"9,516"
